2026-05-30 21:59:56 INFO  BaseCase:40 - =====================自动化开始=========================
2026-05-30 21:59:57 INFO  HttpUtils:94 - 请求url：http://127.0.0.1:8089/admin/login
2026-05-30 21:59:57 INFO  HttpUtils:95 - 请求头：{Content-Type=application/json}
2026-05-30 21:59:57 INFO  HttpUtils:96 - 请求参数：{"username":"test","password":"123456"}
2026-05-30 21:59:58 INFO  HttpUtils:113 - 响应体：{"code":200,"message":"操作成功","data":{"tokenHead":"Bearer","tokenHeader":"Authorization","token":"eyJhbGciOiJIUzUxMiJ9.eyJ1c2VyX25hbWUiOiJ0ZXN0IiwiY3JlYXRlZCI6MTc4MDE0OTU5ODkxNiwiZXhwIjoxNzgwMjM1OTk4fQ.GVpWRk7H0zXsCup1JtoihauUFkXNNPKOQ211cY6Mxkj4eM77MAOc7bqbGQvK4nqF92awkZjb3R1EZxGdWkptZQ"}}
2026-05-30 21:59:59 INFO  BaseCase:123 - 响应断言成功
2026-05-30 21:59:59 INFO  BaseCase:56 - ==============================================================
2026-05-30 21:59:59 INFO  HttpUtils:94 - 请求url：http://127.0.0.1:8089/admin/login
2026-05-30 21:59:59 INFO  HttpUtils:95 - 请求头：{Content-Type=application/json}
2026-05-30 21:59:59 INFO  HttpUtils:96 - 请求参数：{"username":"test","password":"123456"}
2026-05-30 21:59:59 INFO  HttpUtils:113 - 响应体：{"code":200,"message":"操作成功","data":{"tokenHead":"Bearer","tokenHeader":"Authorization","token":"eyJhbGciOiJIUzUxMiJ9.eyJ1c2VyX25hbWUiOiJ0ZXN0IiwiY3JlYXRlZCI6MTc4MDE0OTU5OTMyNCwiZXhwIjoxNzgwMjM1OTk5fQ.ALHdm471LiBAtqKv09VMi5_UcXdF1OXCu82QxLqpOagPj3fJUWZf_1Y2jXl8dHKy50D_buglso1pFruuDn1INQ"}}
2026-05-30 21:59:59 INFO  BaseCase:123 - 响应断言成功
2026-05-30 21:59:59 INFO  BaseCase:56 - ==============================================================
2026-05-30 21:59:59 INFO  HttpUtils:94 - 请求url：http://127.0.0.1:8089/admin/login
2026-05-30 21:59:59 INFO  HttpUtils:95 - 请求头：{Content-Type=application/json}
2026-05-30 21:59:59 INFO  HttpUtils:96 - 请求参数：{"username":"test","password":"123456"}
2026-05-30 21:59:59 INFO  HttpUtils:113 - 响应体：{"code":200,"message":"操作成功","data":{"tokenHead":"Bearer","tokenHeader":"Authorization","token":"eyJhbGciOiJIUzUxMiJ9.eyJ1c2VyX25hbWUiOiJ0ZXN0IiwiY3JlYXRlZCI6MTc4MDE0OTU5OTQ0OCwiZXhwIjoxNzgwMjM1OTk5fQ.TAjmsn-VQYUvzmkAP0fTYjZE4a4Ig5RPqQOXhz6wHjW2zj6Ugva0J7umVLlnbNMebrvuijadw8KLXfwGtvZtGA"}}
2026-05-30 21:59:59 INFO  BaseCase:123 - 响应断言成功
2026-05-30 21:59:59 INFO  BaseCase:56 - ==============================================================
2026-05-30 21:59:59 INFO  HttpUtils:94 - 请求url：http://127.0.0.1:8089/admin/login
2026-05-30 21:59:59 INFO  HttpUtils:95 - 请求头：{Content-Type=application/json}
2026-05-30 21:59:59 INFO  HttpUtils:96 - 请求参数：{"username":"test","password":"123456"}
2026-05-30 21:59:59 INFO  HttpUtils:113 - 响应体：{"code":200,"message":"操作成功","data":{"tokenHead":"Bearer","tokenHeader":"Authorization","token":"eyJhbGciOiJIUzUxMiJ9.eyJ1c2VyX25hbWUiOiJ0ZXN0IiwiY3JlYXRlZCI6MTc4MDE0OTU5OTU2MiwiZXhwIjoxNzgwMjM1OTk5fQ.snQpJ1Io04dn-wXQmdOsqi85pt_u3z1Jc0TKhvIUnF3K1eDP_LLB8CvyvuTsHljc4oK5BoUIUr73LUTmAXk6mQ"}}
2026-05-30 21:59:59 INFO  BaseCase:123 - 响应断言成功
2026-05-30 21:59:59 INFO  BaseCase:56 - ==============================================================
2026-05-30 21:59:59 INFO  HttpUtils:94 - 请求url：http://127.0.0.1:8089/admin/login
2026-05-30 21:59:59 INFO  HttpUtils:95 - 请求头：{Content-Type=application/json}
2026-05-30 21:59:59 INFO  HttpUtils:96 - 请求参数：{"username":"test","password":"123456"}
2026-05-30 21:59:59 INFO  HttpUtils:113 - 响应体：{"code":200,"message":"操作成功","data":{"tokenHead":"Bearer","tokenHeader":"Authorization","token":"eyJhbGciOiJIUzUxMiJ9.eyJ1c2VyX25hbWUiOiJ0ZXN0IiwiY3JlYXRlZCI6MTc4MDE0OTU5OTY3MiwiZXhwIjoxNzgwMjM1OTk5fQ.dnWq5Spq_S13baMOhRcsG8Hns9-LOWIX_B7RVcr9vQilF4Um-nRQM8oxXZ-wx8TsmD8CTVdbbIgKhdUvHwglMg"}}
2026-05-30 21:59:59 INFO  BaseCase:123 - 响应断言成功
2026-05-30 21:59:59 INFO  BaseCase:56 - ==============================================================
2026-05-30 21:59:59 INFO  BaseCase:62 - ====tearDown====
